60,70.96,1.93
40,56.89,2.49
30,48.53,3.05
20,38.73,4.21
15,32.89,5.48
10,25.94,8.33
7,20.99,12.6
5,17.18,19
3,12.76,35.8
2,10.3,47
1.75,9.695,66.5
1.5,9.151,76.7
1.3,8.827,84.1
1.2,8.648,85.7
1.1,8.032,84.9
1,6.931,82.2
.9,5.902,48.5
.75,4.834,81.5
.6,3.908,79.1
.5,3.553,100
.4,2.64,104
.3,2.054,107
.2,1.519,180
.1,.805,545
.08,.65,775
